Team Names,Wins,Losses
"
                            Toronto Maple Leafs
                        ","
                            43
                        ","
                            29
                        "
"
                            Vancouver Canucks
                        ","
                            41
                        ","
                            40
                        "
"
                            Washington Capitals
                        ","
                            39
                        ","
                            35
                        "
"
                            Winnipeg Jets
                        ","
                            24
                        ","
                            51
                        "
"
                            Mighty Ducks of Anaheim
                        ","
                            16
                        ","
                            27
                        "
"
                            Boston Bruins
                        ","
                            27
                        ","
                            18
                        "
"
                            Buffalo Sabres
                        ","
                            22
                        ","
                            19
                        "
"
                            Calgary Flames
                        ","
                            24
                        ","
                            17
                        "
"
                            Chicago Blackhawks
                        ","
                            24
                        ","
                            19
                        "
"
                            Dallas Stars
                        ","
                            17
                        ","
                            23
                        "
"
                            Detroit Red Wings
                        ","
                            33
                        ","
                            11
                        "
